epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,3639.18,1.52384,1.04737,0.92396,0.45135,0.34172,0.3234,0.17807,1.46035,0.99859,0.89697,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3681.05,1.53336,1.05439,0.9247,0.45701,0.34219,0.32398,0.17772,1.46469,0.99878,0.89747,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3723.36,1.52193,1.04765,0.92608,0.44312,0.34939,0.32338,0.17774,1.46896,0.99963,0.89789,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3765.36,1.53502,1.05298,0.92418,0.44444,0.35301,0.32449,0.17891,1.46277,0.9965,0.8964,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3807.56,1.51752,1.0399,0.9231,0.44549,0.35095,0.32548,0.17945,1.46323,0.99626,0.89694,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3849.59,1.52152,1.04478,0.92441,0.44662,0.35244,0.32722,0.17906,1.46569,0.99538,0.89706,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3891.81,1.40739,0.9527,0.90967,0.4499,0.3448,0.32328,0.17681,1.47249,1.00073,0.89883,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3932.63,1.39571,0.9268,0.90619,0.4472,0.34561,0.32324,0.17676,1.47616,0.99934,0.89844,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3973.41,1.3824,0.91611,0.90514,0.44776,0.34709,0.32412,0.17701,1.47694,0.99864,0.89819,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4013.95,1.38101,0.91337,0.90276,0.44813,0.34848,0.32427,0.17713,1.47651,0.99883,0.8982,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4054.88,1.37837,0.90964,0.90229,0.4522,0.34529,0.32474,0.17744,1.47477,0.99749,0.89777,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4095.48,1.37669,0.90785,0.90128,0.45175,0.34351,0.32477,0.17831,1.4719,0.99616,0.89755,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4136.46,1.37393,0.90379,0.90069,0.45233,0.34343,0.32556,0.17847,1.47116,0.99648,0.89754,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4176.97,1.37329,0.89922,0.90067,0.44884,0.34607,0.32515,0.17807,1.47254,0.9965,0.89793,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4218.55,1.37051,0.90043,0.90021,0.45403,0.34363,0.32523,0.17803,1.47496,0.99684,0.89811,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4259.46,1.37211,0.89806,0.89998,0.45628,0.34244,0.32532,0.17819,1.47088,0.99611,0.89765,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
