epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
81,3621.48,1.37453,0.88127,0.89435,0.51732,0.40155,0.3908,0.22157,1.3607,0.92029,0.87585,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3664.99,1.35598,0.86636,0.8909,0.51794,0.4035,0.39109,0.22207,1.35606,0.91626,0.87492,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3708.45,1.35807,0.87057,0.89137,0.52037,0.40045,0.38937,0.22101,1.35685,0.91637,0.87468,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3752.06,1.35095,0.86431,0.88932,0.51919,0.40177,0.39091,0.22218,1.35166,0.91298,0.87431,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3795.54,1.34996,0.86102,0.88947,0.51617,0.40678,0.39268,0.22295,1.35097,0.91355,0.87448,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3838.9,1.35364,0.86262,0.8897,0.52131,0.40205,0.39202,0.22244,1.35202,0.91535,0.87537,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3882.17,1.34519,0.85745,0.89066,0.51526,0.40524,0.39212,0.22237,1.35257,0.91805,0.87534,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3925.74,1.35293,0.86204,0.89058,0.51358,0.40862,0.39327,0.22298,1.35303,0.9188,0.87489,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3969.02,1.34866,0.85672,0.88813,0.51717,0.40811,0.39388,0.22305,1.35256,0.91658,0.87505,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4012.27,1.33389,0.84666,0.88822,0.52992,0.40174,0.39507,0.22403,1.34905,0.91506,0.87482,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4055.76,1.24552,0.75905,0.8757,0.51792,0.40505,0.39179,0.22288,1.35429,0.91992,0.87589,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4098.36,1.23331,0.74376,0.87187,0.51717,0.40267,0.39016,0.22153,1.35547,0.92198,0.87577,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4140.57,1.22916,0.74003,0.87072,0.51082,0.404,0.38959,0.22112,1.35299,0.92252,0.87559,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,4182.77,1.22644,0.73695,0.87242,0.5098,0.40526,0.38919,0.2207,1.35417,0.92297,0.87599,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,4225.18,1.22126,0.73176,0.87075,0.52052,0.39855,0.38835,0.2208,1.35449,0.92164,0.8759,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,4267.92,1.21535,0.72757,0.86822,0.51308,0.40412,0.38765,0.22048,1.3534,0.92187,0.87564,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,4311.36,1.21397,0.72356,0.86983,0.51676,0.40189,0.38865,0.22049,1.35466,0.92273,0.87598,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4353.77,1.21103,0.71966,0.86863,0.51968,0.39932,0.38847,0.22004,1.35528,0.92289,0.87576,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4396.49,1.20909,0.7194,0.86769,0.51688,0.40283,0.38748,0.21969,1.3586,0.92472,0.87605,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4439.27,1.20885,0.71598,0.86821,0.52044,0.40147,0.3876,0.22015,1.35878,0.92441,0.87616,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
